Year,Loss_Area_Hectares
2001,5920.167529411766
2002,3996.703764705882
2003,2633.120823529412
2004,10272.234705882354
2005,7479.212470588235
2006,9179.259882352939
2007,6650.058705882352
2008,9969.359647058824
2009,9302.442000000001
2010,8918.228117647057
2011,6012.696
2012,12290.846823529411
2013,5105.30294117647
2014,7222.987411764708
2015,5030.830588235294
2016,25014.52835294117
2017,13799.107764705883
